Writ152	FEMALE	RIGHT	25	MIXED	
Writ153	FEMALE	RIGHT	21	MIXED	
Writ154	FEMALE	LEFT	25	MIXED	
Writ155	MALE	RIGHT	26	UPPER	
Writ156	MALE	RIGHT	21	MIXED	
Writ157	MALE	RIGHT	26	CURSIVE	
Writ158	MALE	RIGHT	24	HANDPRINT	
Writ159	MALE	RIGHT	23	MIXED	
Writ160	MALE	RIGHT	26	MIXED	
Writ161	MALE	RIGHT	26	HANDPRINT	
Writ170	FEMALE	RIGHT	26	HANDPRINT	
Writ171	FEMALE	RIGHT	27	HANDPRINT	
Writ172	FEMALE	LEFT	20	HANDPRINT	
Writ175	MALE	RIGHT	43	CURSIVE	
Writ183	MALE	RIGHT	22	MIXED	
Writ191	MALE	RIGHT	22	MIXED	
Writ219	MALE	RIGHT	25	CURSIVE	
Writ220	MALE	LEFT	27	MIXED	
Writ221	MALE	RIGHT	26	CURSIVE	
Writ222	MALE	RIGHT	27	CURSIVE	
Writ236	MALE	RIGHT	21	HANDPRINT	
Writ240	MALE	RIGHT	26	CURSIVE	
Writ241	MALE	RIGHT	29	MIXED	
Writ243	MALE	RIGHT	20	HANDPRINT	
Writ257	MALE	RIGHT	22	MIXED	
Writ258	MALE	RIGHT	21	MIXED	
Writ269	MALE	RIGHT	21	CURSIVE	
Writ275	FEMALE	RIGHT	21	MIXED	
Writ276	FEMALE	RIGHT	26	HANDPRINT	
Writ277	FEMALE	RIGHT	23	HANDPRINT	
Writ278	FEMALE	RIGHT	24	HANDPRINT	
Writ279	MALE	RIGHT	25	HANDPRINT	
Writ280	FEMALE	RIGHT	27	HANDPRINT	
Writ281	FEMALE	RIGHT	26	MIXED	
Writ282	FEMALE	LEFT	24	MIXED	
Writ283	FEMALE	RIGHT	24	HANDPRINT	
Writ284	FEMALE	RIGHT	24	MIXED	
Writ285	FEMALE	RIGHT	24	MIXED	
Writ286	FEMALE	RIGHT	22	CURSIVE	
Writ287	FEMALE	RIGHT	21	HANDPRINT	
Writ288	FEMALE	RIGHT	21	HANDPRINT	
Writ289	MALE	RIGHT	24	MIXED	
Writ290	MALE	LEFT	22	MIXED	
Writ291	MALE	RIGHT	24	MIXED	
Writ292	MALE	RIGHT	35	CURSIVE	
Writ293	FEMALE	RIGHT	20	MIXED	
Writ294	MALE	RIGHT	22	CURSIVE	
Writ295	MALE	RIGHT	24	CURSIVE	
Writ296	FEMALE	RIGHT	24	MIXED	
Writ297	FEMALE	RIGHT	22	MIXED	
Writ298	FEMALE	RIGHT	22	HANDPRINT	
Writ299	FEMALE	LEFT	22	CURSIVE	
Writ300	FEMALE	RIGHT	21	MIXED	
Writ301	MALE	RIGHT	22	CURSIVE	
Writ302	MALE	RIGHT	27	MIXED	
Writ303	FEMALE	RIGHT	21	MIXED	
Writ304	FEMALE	RIGHT	23	HANDPRINT	
Writ305	FEMALE	RIGHT	21	HANDPRINT	
Writ306	MALE	RIGHT	42	CURSIVE	
Writ307	FEMALE	RIGHT	23	HANDPRINT	
Writ308	MALE	LEFT	23	MIXED	
Writ309	FEMALE	RIGHT	23	CURSIVE	
Writ310	FEMALE	LEFT	21	MIXED	
Writ311	FEMALE	RIGHT	21	MIXED	
Writ312	FEMALE	LEFT	54	MIXED	
Writ313	MALE	RIGHT	22	HANDPRINT	
Writ315	FEMALE	RIGHT	22	HANDPRINT	
Writ316	FEMALE	RIGHT	21	MIXED	
Writ317	FEMALE	RIGHT	21	MIXED	
Writ318	FEMALE	RIGHT	21	MIXED	
Writ319	FEMALE	RIGHT	24	HANDPRINT	
Writ320	FEMALE	RIGHT	24	HANDPRINT	
Writ321	MALE	RIGHT	24	MIXED	
Writ322	FEMALE	RIGHT	20	HANDPRINT	
Writ326	MALE	LEFT	25	CURSIVE	
Writ368	FEMALE	RIGHT	24	MIXED	
Writ373	FEMALE	RIGHT	24	MIXED	
Writ374	MALE	RIGHT	24	CURSIVE	
Writ375	FEMALE	RIGHT	20	MIXED	
Writ376	FEMALE	RIGHT	24	HANDPRINT	
Writ377	FEMALE	RIGHT	25	MIXED	
Writ378	FEMALE	RIGHT	21	HANDPRINT	
Writ379	FEMALE	RIGHT	21	MIXED	
Writ380	FEMALE	RIGHT	24	MIXED	
Writ381	FEMALE	RIGHT	23	MIXED	
Writ382	FEMALE	RIGHT	25	MIXED	
Writ383	FEMALE	RIGHT	22	MIXED	
Writ384	FEMALE	RIGHT	27	HANDPRINT	
Writ385	FEMALE	LEFT	23	HANDPRINT	
Writ386	FEMALE	RIGHT	24	CURSIVE	
Writ387	MALE	RIGHT	26	HANDPRINT	
Writ388	FEMALE	RIGHT	26	HANDPRINT	
Writ389	FEMALE	RIGHT	23	MIXED	
Writ390	FEMALE	RIGHT	22	MIXED	
Writ392	FEMALE	RIGHT	25	MIXED	
Writ393	FEMALE	RIGHT	25	HANDPRINT	
Writ394	FEMALE	RIGHT	25	CURSIVE	
Writ395	FEMALE	RIGHT	26	MIXED	
Writ396	FEMALE	LEFT	22	MIXED	
Writ397	FEMALE	RIGHT	25	MIXED	
Writ398	FEMALE	LEFT	23	CURSIVE	
Writ399	FEMALE	RIGHT	23	HANDPRINT	
Writ400	FEMALE	RIGHT	23	MIXED	
Writ401	FEMALE	RIGHT	23	HANDPRINT	
Writ402	FEMALE	RIGHT	22	MIXED	
Writ403	FEMALE	RIGHT	22	HANDPRINT	
Writ404	FEMALE	RIGHT	23	MIXED	
Writ405	FEMALE	RIGHT	23	CURSIVE	
Writ406	FEMALE	RIGHT	22	MIXED	
Writ407	MALE	RIGHT	25	CURSIVE	
Writ408	FEMALE	RIGHT	28	MIXED	
Writ410	MALE	RIGHT	21	CURSIVE	
Writ411	FEMALE	RIGHT	15	MIXED	
Writ412	FEMALE	RIGHT	24	MIXED	
Writ413	MALE	LEFT	21	MIXED	
Writ414	FEMALE	RIGHT	22	MIXED	
Writ415	FEMALE	RIGHT	20	MIXED	
Writ416	FEMALE	LEFT	21	MIXED	
Writ417	FEMALE	RIGHT	21	HANDPRINT	
Writ418	FEMALE	RIGHT	22	HANDPRINT	
Writ419	FEMALE	RIGHT	22	MIXED	
Writ420	FEMALE	RIGHT	21	MIXED	
Writ421	FEMALE	RIGHT	20	HANDPRINT	
Writ422	FEMALE	RIGHT	25	HANDPRINT	
Writ423	MALE	RIGHT	22	MIXED	
Writ424	MALE	RIGHT	25	MIXED	
Writ425	FEMALE	RIGHT	24	CURSIVE	
Writ427	FEMALE	RIGHT	21	CURSIVE	
Writ428	FEMALE	RIGHT	23	MIXED	
Writ429	MALE	RIGHT	23	CURSIVE	
Writ430	FEMALE	RIGHT	22	HANDPRINT	
Writ431	FEMALE	RIGHT	23	HANDPRINT	
Writ432	FEMALE	RIGHT	24	HANDPRINT	
Writ433	FEMALE	RIGHT	23	MIXED	
Writ434	FEMALE	RIGHT	19	MIXED	
Writ435	FEMALE	RIGHT	21	MIXED	
Writ436	MALE	RIGHT	31	MIXED	
Writ437	FEMALE	RIGHT	30	CURSIVE	
Writ438	FEMALE	RIGHT	23	MIXED	
Writ439	FEMALE	RIGHT	21	MIXED	
Writ440	FEMALE	LEFT	24	HANDPRINT	
Writ441	FEMALE	LEFT	24	MIXED	
Writ442	FEMALE	RIGHT	22	MIXED	
Writ443	MALE	RIGHT	22	MIXED	
Writ444	MALE	RIGHT	21	MIXED	
Writ445	MALE	RIGHT	25	MIXED	
Writ446	MALE	RIGHT	25	MIXED	
Writ447	FEMALE	RIGHT	20	CURSIVE	
Writ448	FEMALE	RIGHT	20	CURSIVE	
Writ449	FEMALE	RIGHT	25	CURSIVE	
Writ450	FEMALE	RIGHT	28	CURSIVE	
Writ451	FEMALE	RIGHT	24	HANDPRINT	
Writ461	MALE	LEFT	22	ALLCAPS	
Writ462	MALE	RIGHT	24	MIXED	
Writ469	FEMALE	RIGHT	23	MIXED	
Writ470	FEMALE	RIGHT	20	CURSIVE	
Writ471	FEMALE	RIGHT	21	MIXED	
Writ472	FEMALE	RIGHT	20	MIXED	
Writ473	FEMALE	RIGHT	26	CURSIVE	
Writ474	FEMALE	RIGHT	20	MIXED	
Writ475	FEMALE	LEFT	25	HANDPRINT	
Writ476	FEMALE	LEFT	50	CURSIVE	
Writ477	FEMALE	RIGHT	26	MIXED	
Writ478	FEMALE	RIGHT	25	CURSIVE	
Writ479	FEMALE	RIGHT	23	CURSIVE	
Writ480	FEMALE	RIGHT	23	HANDPRINT	
Writ484	FEMALE	LEFT	18	MIXED	
Writ485	MALE	RIGHT	18	CURSIVE	
Writ486	FEMALE	RIGHT	17	MIXED	
Writ487	FEMALE	RIGHT	20	HANDPRINT	
